ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
66958,RESTORED,02/09/2019,,,,,,
67044,RESTORED,09/24/2016,,,,,,
67320,,,DUAL LODGE,165,,,,
67424,DEMITTED,04/06/2024,,,,,,
67561,RESTORED,11/29/2017,,,,,,
67675,EXPELLED,09/07/2006,,,,,,
67799,RESTORED,04/20/2013,,,,,,
67888,RESTORED,12/10/2016,,,,,,
67959,SNPD,03/04/2017,,,,,,
67960,,,DUAL LODGE,448,,,,
68202,,,DUAL LODGE,414,,,,
68207,,,DUAL LODGE,401,,,,
68208,,,DUAL LODGE,414,,,,
68537,RESTORED,02/21/2009,,,,,,
68622,,,HONORARY LODGE,97,,,,
68631,RESTORED,05/06/2017,,,,,,
68632,,,DUAL LODGE,448,,,,
68834,RESTORED,03/22/2025,,,,,,
69086,RESTORED,01/11/2020,,,,,,
69119,,,DUAL LODGE,416,,,,
69173,RESTORED,06/08/2024,,,,,,
69174,RESTORED,06/12/2010,,,,,,
69178,,,DUAL LODGE 2,410,,,,
69179,,,DUAL LODGE,448,,,,
69471,,,DUAL LODGE,249,10/07/2023,,,
69472,,,DUAL LODGE,379,,,,
69487,RESTORED,02/13/2010,,,,,,
69491,RESTORED,07/09/2022,,,,,,
69589,,,DUAL LODGE,448,,,,
69664,RESTORED,04/13/2019,,,,,,
69692,,,DUAL LODGE,269,,,,
69833,,,DUAL LODGE,448,,,,
70233,,,DUAL LODGE,448,,,,
70236,RESTORED,05/06/2017,,,,,,
70314,,,DUAL LODGE,414,12/19/2020,,,
70385,DEMITTED,01/27/2021,,,,,,
70386,SNPD,12/10/2016,,,,,,
70545,RESTORED,11/04/2017,,,,,,
70558,RESTORED,02/25/2014,,,,,,
70564,RESTORED,04/01/2017,,,,,,
70884,DEMITTED,01/27/2021,,,,,,
72246,,,DUAL LODGE,448,,,,
72292,,,DUAL LODGE 2,448,,,,
72434,,,DUAL LODGE,414,,,,
72456,,,DUAL LODGE 2,467,,,,
72638,,,DUAL LODGE 2,442,,,,
72789,,,DUAL LODGE 2,442,,,,
72806,RESTORED,02/28/2015,,,,,,
73048,DEMITTED,07/23/2021,,,,,,
74176,RESTORED,11/26/2022,,,,,,
74178,RESTORED,07/23/2022,,,,,,
74492,RESTORED,10/24/2015,,,,,,
75683,,,DUAL LODGE,467,,,,
75684,DEMITTED,01/27/2021,,,,,,
75874,SNPD,12/31/2023,,,,,,
77100,PETITIONED,01/22/2011,,,,,,
76127,,,DUAL LODGE 2,451,,,,
76123,,,DUAL LODGE 2,451,,,,
76124,,,DUAL LODGE 2,467,,,,
76224,RESTORED,05/04/2019,,,,,,
76259,OTHER SNPD,08/06/2015,,,,,,
76275,RESTORED,06/22/2013,,,,,,
76277,RESTORED,05/25/2013,,,,,,
76432,PETITIONED,10/01/2010,,,,,,
76558,PETITIONED,11/05/2010,,,,,,
76560,PETITIONED,11/05/2010,,,,,,
76588,PETITIONED,11/11/2010,,,,,,
76589,PETITIONED,11/11/2010,,,,,,
76789,PETITIONED,04/01/2011,,,,,,
77014,,,DUAL LODGE,414,,,,
77099,PETITIONED,04/13/2011,,,,,,
77371,PETITIONED,06/23/2011,,,,,,
77991,RESTORED,06/05/2019,,,,,,
78392,DEMITTED,10/06/2022,,,,,,
78393,,,DUAL LODGE,15,09/07/2024,,,
78575,PETITIONED,04/04/2012,,,,,,
78745,DEMITTED,12/18/2021,,,,,,
79647,,,DUAL LODGE 2,451,,,,
80587,RESTORED,01/14/2023,,,,,,
81344,RESTORED,04/08/2017,,,,,,
81621,,,DUAL LODGE 2,475,,,,
