ID,Date (Activities),Type (Activities),Action (Activities),Notes (Activities)
18445,03/25/2010,Regular,Accepted,REST (51) 03/13/10 PER MMR 03/13/10 - CIR. 03/30/10 (ann03/25/10); 
18445,03/29/2023,Regular,Accepted,UPDATED ADDRESS PER RECEIVED GLP MEMBERS UPDATE FORM 03/29/2023 [JOEL]
21378,04/04/2012,Regular,Accepted,DECEASED (69) 2011 PER 2011 AR [JEN];
21391,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
21400,09/25/2019,Regular,Accepted,"50 YEARS CERTIFICATE & PIN, APRON  APPROVED BY MW DANILO D. ANGELES, PGM, GRAND SECRETARY 09/23/19 [JOEL]"
21420,10/19/2020,Regular,Accepted,RESTORED [69] MMR 03/2020 CIR. 10/20/2020 [JOEL]
21420,07/25/2025,Regular,Accepted,DECEASED [ 69 ] PER MMR 06/2025 CIR 07/30/2025 [JOEL]
21450,03/14/2017,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 191498 DTD 03/08/17 [JEN];
21458,03/07/2022,Regular,Accepted,DECEASED [69] PER SUBMITTED LETTER DATED 03/02/2022 [JOEL]
21462,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
21463,11/20/2020,Regular,Accepted,50 YEARS CERTIFICATE AND PIN ISUED 10/29/2020 S.I NO. 209745 [JOEL]
21486,\N,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 140915 DTD 03/08/11 [JEN];
21491,\N,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 140915 DTD 03/08/11 [JEN];
21495,02/12/2014,Regular,Accepted,DECEASED (69) PER 2013 AR [JEN]; 
21496,10/15/2010,Regular,Accepted,DECEASED (69) 08/23/10 PER MMR 09/04/10 - CIR. 10/10/10 (ann); -RE-PUBLISHED 01/30/11.
21497,\N,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI# 140915 DTD 03/08/11 [JEN];
21507,03/23/2012,Regular,Accepted,LML CERT & PIN (69) ISSUED PER SI # 1147138 DTD 01/12/12 [JEN];
21507,01/24/2013,Regular,Accepted,SNPD (69) PER 2012 AR [JEN];
21515,06/07/2023,Regular,Accepted,GLI (185) MY 2022-2023 (SALVADOR)
21526,\N,Regular,Accepted,SNPD (69) PER 2010 AR [ann]; 
21533,10/26/2016,Regular,Accepted,"MM CERT (69) ISSUED PER SI# 188577 DTD 10/10/16, PROF. EXM DTD 05/05/90 [ROSE];"
21735,04/16/2014,Regular,Accepted,DECEASED (69) PER MMR 03/01/14 - CIR. 04/20/14 [JEN]; 
21762,04/16/2015,Regular,Accepted,DECEASED (69) PER JAN 2015 - CIR. 03/30/15 [JEN];
21772,02/09/2023,Regular,Accepted,RESTORED [69] MMR 12/2022 CIR. 02/10/2023 [JOEL]
21776,02/09/2023,Regular,Accepted,DECEASED MMR 12/2022 [JOEL]
21777,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
