ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
67320,2023,LO,TREASURER,Treasurer [448] E/R 2023 [lara]
67422,2009,LO,TREASURER,TREAS(352) 2009 ER;
67674,2023,LO,SW,SW [466] E/R 2023 [lara]
67674,2024,LO,WM,WM [466] ER 2024 [Lara]
67688,2008,LO,JW,JW (346) 2008 ER;
67886,2008,LO,SECRETARY,SEC.  (346) 2008 ER;
67886,2010,LO,SECRETARY,SEC (346) 2010 ER (ann04/14/10); 
67886,2014,LO,SECRETARY,SEC (346) 2014 ER [JEN]; 
67886,2015,LO,SECRETARY,SEC (346) 2015 ER [JEN];
67955,2008,LO,SECRETARY,SEC. (352) 2008 ER;
67959,2010,LO,SW,SW (84) 2010 ER (ann04/08/10); 
67959,2011,LO,SW,SW (84) 2011 ER [ann]; 
67959,2012,LO,SW,SW (84) 2012 ER [JEN];
67959,2013,LO,WM,WM (84) 2013 ER [JEN];
67960,2011,LO,JW,JW (69) 2011 ER [ann]; 
67960,2012,LO,SW,SW (69) 2012 ER [JEN];
67960,2013,LO,WM,WM (69) 2013 ER [JEN]; 
67983,2009,LO,WM,WM(352) 2009 ER;
67983,2010,LO,AUDITOR,AUD (352) 2010 ER (ann04/14/10); 
68030,2007,LO,SW,SW (69) 2007 ER;
68030,2008,LO,WM,WM (69) 2008 ER;
68030,2009,LO,AUDITOR,AUD(69) 2009 ER;
68030,2010,LO,TREASURER,TREAS (69) 2010 ER (ann04/07/10); 
68030,2011,LO,TREASURER,TREAS (69) 2011 ER [ann]; 
68202,2007,LO,JW,
68202,2008,LO,WM,WM (15) 2008 ER; 
68202,2009,LO,AUDITOR,AUD(15) 2009 ER;
68202,2010,LO,AUDITOR,AUD (15) 2010 ER (ann04/06/10); 
68202,2011,LO,SECRETARY,SEC (15) 2011 ER [ann]; 
68202,2012,LO,SECRETARY,SEC (15) PER 2011 AR [JEN];
68202,2013,LO,SECRETARY,SEC (15) 2013 ER [JEN];
68202,2014,LO,SECRETARY,SEC (15) ER 2014 [JEN]; 
68202,2015,LO,SECRETARY,SEC (15) 2015 ER [JEN];
68202,2017,LO,TREASURER,TREAS (15) 2017 ER [JEN];
68202,2018,LO,TREASURER,TREAS(15) 2018ER (JOEL);
68202,2019,LO,TREASURER,TREASURER(15)E/R2019[JOAN]
68202,2022,LO,SECRETARY,Secretary [15] Er 2022  [lara]
68206,2007,LO,SECRETARY,
68206,2008,LO,SECRETARY,SEC. (15) 2008 ER;
68206,2019,LO,JW,JW(15)E/R2019[JOAN]
68206,2020,LO,SW,SW [15] E/R 2020 [MON]
68206,2021,LO,WM,WM [15] MY 2021 PER 2021 E/R [JOEL]
68206,2024,LO,SECRETARY,Sec [15] E/R 2024 [Lara]
68206,2025,LO,SECRETARY,Sec [15] E/R 2025 [Lara]
68207,2007,LO,SW,
68207,2009,LO,TREASURER,TREAS(15) 2009 ER;
68207,2010,LO,TREASURER,TREAS (15) 2010 ER (ann04/06/10); 
68207,2011,LO,AUDITOR,AUD (15) 2011 ER [ann]; 
68207,2012,LO,AUDITOR,AUD (15) PER 2011 AR [JEN];
68207,2013,LO,AUDITOR,AUD (15) 2013 ER [JEN];
68208,2007,LO,AUDITOR,
68208,2008,LO,SW,SW (15) 2008 ER;
68208,2009,LO,WM,WM(15) 2009 ER;
68208,2011,LO,TREASURER,TREAS (15) 2011 ER [ann]; 
68208,2012,LO,TREASURER,TREAS (15) PER 2011 AR [JEN];
68208,2013,LO,TREASURER,TREAS (15) 2013 ER [JEN];
68208,2014,LO,TREASURER,TREAS (15) ER 2014 [JEN]; 
68208,2018,LO,AUDITOR,AUD(15) 2018ER (JOEL);
68208,2019,LO,AUDITOR,AU(15)E/R2019[JOAN]
68208,2022,LO,TREASURER,Treasurer [15] Er 2022  [lara]
68208,2020,LO,TREASURER,TREASURER [15] E/R 2020 [MON]
68208,2021,LO,AUDITOR,TREAS[15] MY 2021 PER 2021 E/R [JOEL]
68208,2023,LO,TREASURER,Treasurer [15] E/R 2023 [lara]
68318,2025,LO,AUDITOR,Auditor [352] ER 2025 [Lara]
68363,2008,LO,JW,JW (15) 2008 ER;
68363,2009,LO,SW,SW(15) 2009 ER;
68363,2010,LO,WM,WM (15) 2010 ER (ann04/06/10); 
68530,2012,LO,AUDITOR,AUD (31) 2012 ER [JEN];
68632,2010,LO,JW,JW (69) 2010 ER (ann04/07/10); 
68632,2011,LO,SW,SW (69) 2011 ER [ann]; 
68632,2012,LO,WM,WM (69) 2012 ER [JEN];
68632,2014,LO,SECRETARY,SEC (69) ER 2014 [JEN]; 
68831,2016,LO,SW,SW (416) 2016 ER [JEN];
68831,2017,LO,WM,WM (416) 2017 ER [JEN];
69040,2019,LO,SW,SW(69)E/R2019[JOAN]
69040,2020,LO,SW,SW [69] E/R 2020 [MON]
69040,2022,LO,WM,Wm [69] Er 2022 - [lara]
69119,2017,LO,SW,SW (416) 2017 ER [JEN];
69119,2018,LO,WM,WM(416) ER2018 (JOEL)
69119,2022,LO,SECRETARY,Sec [416] Er 2022  [lara]
69119,2023,LO,SECRETARY,Sec [416] E/R 2023  [lara]
69119,2024,LO,SECRETARY,Sec [416] ER 2024 [Lara]
69119,2025,LO,SECRETARY,Sec [416] ER 2025 [Lara]
69178,2008,LO,WM,WM (366) 2008 ER;
69178,2013,LO,AUDITOR,AUD (366) 2013 ER [JEN];
69178,2014,LO,AUDITOR,AUD (366) 2014 ER [JEN]; 
69178,2020,LO,WM,WM [366] E/R 2020 [MON]
69179,2014,LO,JW,JW (69) ER 2014 [JEN]; 
69179,2015,LO,SW,SW (69) 2015 ER [JEN];
69179,2016,LO,WM,WM (69) 2016 ER [JEN];
69179,2020,LO,WM,WM [448] 2020 E/R [JOEL]
69249,2009,LO,JW,JW(15) 2009 ER;
69249,2018,LO,SECRETARY,SEC(15) 2018ER (JOEL);
69249,2019,LO,SECRETARY,SEC(15)E/R2019[JOAN]
69249,2022,LO,WM,WM [15] Er 2022  [lara]
69249,2020,LO,SECRETARY,SECRETARY [15] E/R 2020 [MON]
69249,2021,LO,SECRETARY,SECRETARY [15] MY 2021 PER 2021 E/R [JOEL]
69249,2023,LO,SECRETARY,Secretary [15] E/R 2023 [lara]
69471,2007,LO,TREASURER,TREAS (352) 2007 ER;
69471,2008,LO,JW,JW (352) 2008 ER;
69471,2009,LO,SW,SW(352) 2009 ER;
69471,2010,LO,SW,SW (352) 2010 ER (ann04/14/10); 
69471,2011,LO,WM,WM (352) 2011 ER [ann]; 
69471,2018,LO,AUDITOR,AUD(352) 2018ER (JOEL);
69471,2024,LO,JW,JW [249] ER 2024 [Lara]
69472,2009,LO,JW,JW(352) 2009 ER;
69472,2010,LO,JW,JW (352) 2010 ER (ann04/14/10); 
69472,2012,LO,WM,WM (352) 2012 ER (fav 03/14/2012);
69472,2013,LO,AUDITOR,AUD (352) 2013 ER [JEN];
69472,2014,LO,AUDITOR,AUD (352) ER 2014 [JEN]; 
69487,2013,LO,TREASURER,TREAS (31) 2013 ER [JEN];
69487,2014,LO,SW,SW (31) 2014 ER [JEN];
69487,2015,LO,WM,WM (31) 2015 ER [JEN];
69487,2017,LO,TREASURER,TREAS (31) 2017 ER [JEN];
69487,2019,LO,AUDITOR,AUD(31) E/R 2019 [CATH]
69487,2020,LO,AUDITOR,AUDITOR [31] E/R 2020 [MON]
69487,2022,LO,AUDITOR,Auditor [31] Er 2022  [lara]
69487,2024,LO,AUDITOR,Auditor [31] ER 2024 [Lara]
69692,2007,LO,JW,JW (269) 2007 ER;
69692,2008,LO,SW,SW (269) 2008 ER; 
69692,2009,LO,WM,WM(269) 2009 ER;
69700,2007,LO,SECRETARY,SEC (352) 2007 ER;
69700,2008,LO,SW,SW (352) 2008 ER;
69700,2010,LO,WM,WM (352) 2010 ER (ann04/14/10); 
69700,2011,LO,AUDITOR,AUD (352) 2011 ER [ann]; 
69700,2012,LO,AUDITOR,AUD (352) 2012 ER (fav 03/14/2012);
69768,2009,LO,SECRETARY,SEC(352) 2009 ER;
69773,2007,LO,TREASURER,
69773,2008,LO,TREASURER,TREAS. (15) 2008 ER;
69773,2010,LO,JW,JW (15) 2010 ER (ann04/06/10); 
69773,2011,LO,WM,WM (15) 2011 ER [ann]; 
69833,2012,LO,JW,JW (69) 2012 ER [JEN];
69833,2013,LO,SW,SW (69) 2013 ER [JEN]; 
69833,2014,LO,WM,WM (69) ER 2014 [JEN]; 
69833,2015,LO,SECRETARY,SEC (69) 2015 ER [JEN];
69833,2016,LO,SECRETARY,SEC (69) 2016 ER [JEN];
69833,2017,LO,SECRETARY,SEC (69) 2017 ER [JEN];
69833,2018,LO,SECRETARY,SEC(69) 2018ER (JOEL);
69833,2019,LO,TREASURER,TREASURER(69)E/R2019[JOAN]
69833,2020,LO,AUDITOR,AUD [448] 2020 E/R [JOEL]
