ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
8339,SNPD,12/31/1988,,,,,,
8340,SNPD,12/31/1988,,,,,,
8341,SNPD,12/31/1989,,,,,,
8342,SNPD,0978-12-31,,,,,,
8345,SNPD,08/31/1984,,,,,,
8350,SNPD,12/31/1984,,,,,,
8352,SNPD,12/31/1999,,,,,,
8353,SNPD,0980-12-31,,,,,,
8355,SNPD,12/31/1985,,,,,,
8356,SNPD,12/30/1971,,,,,,
8357,SNPD,12/30/1968,,,,,,
8359,SNPD,12/31/1988,,,,,,
8360,SNPD,12/31/1986,,,,,,
8361,SNPD,12/31/1995,,,,,,
8362,SNPD,12/31/1978,,,,,,
8363,SNPD,12/31/1984,,,,,,
8365,SNPD,06/04/2016,,,,,,
8369,SNPD,12/06/1975,,,,,,
8370,SNPD,12/31/1976,,,,,,
8371,SNPD,06/04/1983,,,,,,
8372,SNPD,12/30/1971,,,,,,
8373,SNPD,12/31/1989,,,,,,
8374,,,DUAL LODGE,27,08/21/1998,,,
8376,SNPD,0989-12-31,,,,,,
8380,SNPD,12/07/1968,,,,,,
8381,SNPD,12/31/1987,,,,,,
8382,SNPD,12/06/1969,,,,,,
8383,M,1958,,,,,,
8384,M,1980,,,,,,
8391,SNPD,12/31/1989,,,,,,
8413,SNPD,12/30/1972,,,,,,
8504,SNPD,12/31/2001,,,,,,
9659,PM,1921,,,,,,
9717,PM,2005,,,,,,
10136,,,DUAL LODGE,19,,,,
10317,PM,1976,,,,,,
11671,SNPD,12/31/1999,,,,,,
11683,PM,1987,,,,,,
12323,SNPD,12/31/1991,,,,,,
12325,SNPD,11/14/1983,,,,,,
12326,SNPD,11/09/1985,,,,,,
12327,SNPD,11/12/1983,,,,,,
12328,SNPD,12/15/1986,,,,,,
12329,SNPD,12/31/1991,,,,,,
12331,SNPD,12/12/1964,,,,,,
12332,SNPD,12/31/1997,,,,,,
12333,SNPD,12/31/1990,,,,,,
12334,SNPD,12/31/1990,,,,,,
12337,SNPD,11/09/1985,,,,,,
12338,SNPD,12/13/1986,,,,,,
12339,SNPD,11/12/1983,,,,,,
12340,SNPD,12/31/2001,,,,,,
12341,SNPD,12/31/1991,,,,,,
12342,SNPD,12/31/1992,,,,,,
12343,SNPD,12/31/2010,,,,,,
12345,PM,1915,,,,,,
12346,SNPD,12/10/1988,,,,,,
12347,SNPD,12/31/1991,,,,,,
12348,SNPD,12/11/1971,,,,,,
12349,SNPD,12/10/1988,,,,,,
12350,SNPD,12/31/1992,,,,,,
12351,SNPD,12/08/1979,,,,,,
12352,SNPD,12/31/1989,,,,,,
12353,SNPD,12/31/1995,,,,,,
12355,SNPD,12/10/1994,,,,,,
12356,SNPD,12/31/1992,,,,,,
12357,SNPD,10/10/1981,,,,,,
12358,SNPD,12/31/1991,,,,,,
12359,SNPD,10/10/1981,,,,,,
12360,SNPD,12/13/1986,,,,,,
12362,SNPD,12/13/1986,,,,,,
12364,SNPD,12/31/1993,,,,,,
12365,SNPD,12/31/2001,,,,,,
12366,SNPD,12/31/1990,,,,,,
12367,SNPD,12/31/1991,,,,,,
12368,SNPD,12/10/1988,,,,,,
12370,SNPD,11/12/1983,,,,,,
12372,SNPD,09/08/1984,,,,,,
12373,SNPD,12/31/1990,,,,,,
12374,SNPD,12/31/1997,,,,,,
12375,SNPD,11/09/1985,,,,,,
12376,SNPD,10/10/1981,,,,,,
